ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
fairyclaire,𝙲𝚕𝚊𝚒𝚛𝚎,1772723,-1,,,2026-02-22T11:27:18.000Z,false,https://www.instagram.com/p/DVDvj8kks7l/
melody_0731,Melody｜台北健身教練,793829098,93,6028,5017,2026-02-19T05:57:56.000Z,false,https://www.instagram.com/p/DU7bWZTk4c0/
iamleontw89,Leon,1225961627,1773,35843,35843,2026-02-13T04:43:44.000Z,false,https://www.instagram.com/p/DUr2Db1E43s/
lauralove0305,蘿拉女孩愛分享🌟,25451165556,332,,,2026-02-12T14:36:39.000Z,false,https://www.instagram.com/p/DUqVSGck9RO/
rm830802,Raymond  閻淯哲,335153848,-1,,,2026-02-12T09:17:44.000Z,false,https://www.instagram.com/p/DUpwyPtEzdz/
bbbbbbooooo8,木木Caitlyn,918379069,165,22561,22561,2026-02-06T05:20:29.000Z,false,https://www.instagram.com/p/DUZ4kpBk_bk/
iris_______siri,IRIS x 跟著波波邊跑邊吃,415521774,151,,,2026-02-03T13:13:29.000Z,false,https://www.instagram.com/p/DUTAaMtkqVN/
hungkai.c,Steve,7674161987,5237,181661,135667,2026-01-30T10:53:13.000Z,false,https://www.instagram.com/p/DUIdHxikt52/
unique.huang,黃冠瑜,1429793646,933,,,2026-01-31T14:32:04.000Z,false,https://www.instagram.com/p/DULbOD6iaS-/
afish_yu,Heina 魚魚,375654367,131,2533,2533,2026-01-31T14:02:50.000Z,false,https://www.instagram.com/p/DULXWMNE2-3/
eatsome_0216,食評紀錄✍🏻 | 記錄各種美食🥰,64714437372,46,,,2026-01-31T03:45:00.000Z,false,https://www.instagram.com/p/DUKRO9jEipP/
buloso_0428,不囉嗦發車囉x食旅日常🚘,50228683495,-1,,,2026-01-30T09:02:26.000Z,false,https://www.instagram.com/p/DUIQs3SEkb-/
luke_chennan,𝐋𝐮𝐤𝐞 𝐂𝐡𝐞𝐧,768328061,-1,,,2026-01-30T08:01:44.000Z,false,https://www.instagram.com/p/DUIJwSWkSjN/
johnsonlin.94,Johnson Lin 😊,308511445,603,,,2026-01-30T05:51:05.000Z,false,https://www.instagram.com/p/DUH6zXgkixa/
yujou__,柔柔 護理師｜變美實測,1251204041,257,15748,15748,2026-01-28T11:32:54.000Z,false,https://www.instagram.com/p/DUDYTjnkukI/
eatsome_0216,食評紀錄✍🏻 | 記錄各種美食🥰,64714437372,70,,,2026-01-27T08:10:31.000Z,false,https://www.instagram.com/p/DUAcYALEmhC/
jing_914,靜香𝐀ᩚ𝐛𝐛𝐢𝐞˚⊹ ᰔ |  台北女教練 北投·士林·天母,214937095,-1,,,2026-01-27T03:58:53.000Z,false,https://www.instagram.com/p/DT__lALCb0g/
bbdog_bogi,Bogi 波奇,60105117181,5098,,,2026-01-26T15:03:15.000Z,false,https://www.instagram.com/p/DT-mz_yE2O7/
777wei_,七七,1097336108,514,,,2026-01-26T11:59:42.000Z,false,https://www.instagram.com/p/DT-RzuNEqw1/
favorgirl1211,子鈴(偏心）,1057661427,669,,,2026-01-25T07:56:20.000Z,false,https://www.instagram.com/p/DT7RKTBE7Gn/
rui.miss,Miss 芮,3230075232,7,,,2026-01-23T07:33:59.000Z,false,https://www.instagram.com/p/DT2FA7tgTHP/
fvp_yt,劉彥廷𝒀𝒂𝒏,443881135,42,1397,1186,2026-01-23T02:45:48.000Z,false,https://www.instagram.com/p/DT1j0n2iT7K/
amisaddc,郭馨🌻台中健身教練l台中女教練,968800071,10327,1364233,10766,2026-01-22T15:40:24.000Z,false,https://www.instagram.com/p/DT0XurLEq-Q/
shenjenny,Jenny💗信義自由教練,2022077,48,3538,3538,2026-01-22T07:57:32.000Z,false,https://www.instagram.com/p/DTzixCUgfsX/
diane1111siskin,Diane🪽,7688641240,5,1059,853,2025-12-27T14:40:25.000Z,false,https://www.instagram.com/p/DSxUNZ4j7dN/
diane1111siskin,Diane🪽,7688641240,10,1104,805,2026-01-22T08:56:01.000Z,false,https://www.instagram.com/p/DTzoxccD9VT/
ddiet_oooo,🍽️飲食日記,68797487259,6,,,2026-01-22T02:07:01.000Z,false,https://www.instagram.com/p/DTy6zL8D2a5/
chelsea.chiang,Chelsea Chiang,2296386660,1205,57391,56716,2026-01-21T09:39:31.000Z,false,https://www.instagram.com/p/DTxJnCvEa78/
hungkai.c,Steve,7674161987,11275,240022,191527,2026-01-17T04:02:21.000Z,false,https://www.instagram.com/p/DTmPFLqkhIY/
jeannie1210666,靖雯🐔 Jeannie,2114505050,2787,139680,136002,2026-01-15T13:00:00.000Z,false,https://www.instagram.com/p/DTiECwjD7ox/
garyli0428,阿力｜台中健身教練,1679684635,35,1469,1449,2026-01-15T10:05:51.000Z,false,https://www.instagram.com/p/DThu8WuDbLi/
pocahontas_w13,被單Mermaid Penny🫧,645479709,67,23595,2853,2026-01-14T09:07:50.000Z,false,https://www.instagram.com/p/DTfC5BTk7yf/
colorfulinsideus,兔女狼Rabbit& Wolf,6932460472,34470,1250614,825386,2026-01-12T13:15:37.000Z,false,https://www.instagram.com/p/DTaWVugEskA/
mark.gucci,Mark Lin,1627341014,-1,,,2026-01-07T14:59:22.000Z,false,https://www.instagram.com/p/DTNrRABk7jR/
jenny9ee,Jenny ☺︎ 基隆最美紋繡師,538604016,28,2433,2433,2026-01-07T01:40:24.000Z,false,https://www.instagram.com/p/DTMPjWPj4sv/
hantingl,Hunter,2138223537,78,,,2026-01-02T06:23:23.000Z,false,https://www.instagram.com/p/DS_4PdWkmPW/
louis_0513,皮皮,1537041917,96,4207,3764,2026-01-01T14:27:27.000Z,false,https://www.instagram.com/p/DS-KKaLAWw-/
