ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
jeeeee_0919,Alena💫,1427619095,-1,6338,6338,2025-01-17T09:29:07.000Z,true,https://www.instagram.com/p/DE68nDcyB5T/
mei_4524,𝓜𝓮𝓲莓,3177691415,801,31235,31235,2024-11-29T11:00:00.000Z,false,https://www.instagram.com/p/DC8-zyezrBU/
verna_pei,林欣霈☀️霈霈☀️,1131073,294,25606,24239,2025-01-10T08:28:42.000Z,false,https://www.instagram.com/p/DEo2pzhvOUG/
_lydia___o,Lydia ZHONG,1482676079,298,24598,24598,2024-11-05T14:35:32.000Z,false,https://www.instagram.com/p/DB_j2iySrgv/
karenchaochao,Karen Chao,352041447,3922,,,2024-12-05T06:06:48.000Z,false,https://www.instagram.com/p/DDL58CbTKUh/
shulingyu,Emily Shu,484424527,50,,,2024-06-26T04:37:21.000Z,false,https://www.instagram.com/p/C8qm7KES6WU/
act81326,李靜,3223091122,7,,,2024-05-17T06:24:56.000Z,false,https://www.instagram.com/p/C7DzcJOv4dZ/
lena___524,Lena｜美妍🫧,617946805,74,4421,4402,2024-05-10T09:16:43.000Z,false,https://www.instagram.com/p/C6yFTkVv0-0/
izzythewildland,Izzy就是啊紫,50709011909,779,2155,2140,2024-05-06T05:51:46.000Z,false,https://www.instagram.com/p/C6naiGDrbck/
staryen1202,MICHAELIA🌷,2739455113,204,47487,47459,2024-03-18T15:18:50.000Z,false,https://www.instagram.com/p/C4qQd4XSuJN/
donuts0118,多娜醬🎀是媽媽🎀,5424059167,121,,,2024-03-18T14:54:33.000Z,false,https://www.instagram.com/p/C4qOEI9Pb2d/
donuts0118,多娜醬🎀是媽媽🎀,5424059167,81,3571,3408,2024-03-03T17:37:16.000Z,false,https://www.instagram.com/p/C4D4a2HP3GL/
watchglassfix,趣皮行動維修_科目三房東,4880429070,11,1414,1414,2024-03-01T18:43:44.000Z,false,https://www.instagram.com/p/C3-2gg7yzl2/
donuts0118,多娜醬🎀是媽媽🎀,5424059167,85,3856,3355,2024-03-01T11:09:10.000Z,false,https://www.instagram.com/p/C3-Cbc2vYNf/
guomingirls,國民美少女有限公司,7841560519,44,1823,1674,2024-03-01T11:03:17.000Z,false,https://www.instagram.com/p/C3-BSajhT3c/
rong._0216,淑蓉✨🧸,5798520651,-1,2491,2491,2023-12-16T15:08:50.000Z,false,https://www.instagram.com/p/C06vEJRvJfW/
kimblueice,Yuna Tsai,307172064,95,2546,2546,2023-11-16T13:00:00.000Z,false,https://www.instagram.com/p/CztTM3dPFbJ/
teacher_sindy,主持人琳琳,281890777,-1,2475,2475,2023-11-15T13:31:00.000Z,false,https://www.instagram.com/p/Czqx4bMy_cd/
angela_baoo,包子兒🤪,1561466400,-1,1593,1593,2023-10-21T04:55:00.000Z,true,https://www.instagram.com/p/CypfFIWS9-f/
angela_baoo,包子兒🤪,1561466400,-1,,,2023-10-03T03:01:07.000Z,true,https://www.instagram.com/p/Cx67qvjSGN4/
yumi_i0313,Yu Mi,640925111,-1,,,2023-07-21T08:02:42.000Z,false,https://www.instagram.com/p/Cu87W5bBszy/
linzhenxi328,林真熙 ◡̈ ❤︎ ZX,5742472595,20,401,401,2023-07-15T07:29:41.000Z,false,https://www.instagram.com/p/CutafdDNQVi/
